,country,co2_gdp_2019_1,co2_gdp_2019_1_ci,co2_gdp_2020_1,co2_gdp_2020_1_ci,co2_gdp_2021_1,co2_gdp_2021_1_ci,co2_gdp_2019_2,co2_gdp_2019_2_ci,co2_gdp_2020_2,co2_gdp_2020_2_ci,co2_gdp_2021_2,co2_gdp_2021_2_ci,co2,gdp,co2_2019_1,co2_2019_1_ci,co2_2020_1,co2_2020_1_ci,co2_2021_1,co2_2021_1_ci,co2_2019_2,co2_2019_2_ci,co2_2020_2,co2_2020_2_ci,co2_2021_2,co2_2021_2_ci,imf region,gdp_2019,gdp_2020,gdp_2021,co2_change_2020_1,co2_change_2020_2,co2_change_2021_1,co2_change_2021_2
96,Macao,0.046719573733745856,0.029098927860315447,0.048730070638145384,0.032054147536414695,0.043102726077556,0.039327375925045684,0.05246618149893012,0.028008380912404107,0.05272110270347952,0.03207770790759195,0.05297602390802891,0.03625246122799099,2.093161291520008,37040163131.09708,1.825678167301494,1.1371096318048455,1.9232855339767347,1.2651177692421396,1.845785375907308,1.6841137895697207,2.0502404972733554,1.094493922925188,2.080804169520961,1.266047653407439,2.2685889989234784,1.5524369074677935,Emerging Developing Asia,39077372103.30741,39468145824.340485,42822938219.40942,5.35,1.49,-4.03,9.02
97,Madagascar,0.3604631891637319,0.038369490416072516,0.34464312448989975,0.0845461449654204,0.39503881712711997,0.046418431442292796,0.3791490942476443,0.02808735048306743,0.3976356548044109,0.032168150937120665,0.41612221536117744,0.03635467496568412,4.281281379405034,12871115967.76337,4.78338997864114,0.5091677637531014,4.500280520098925,1.1039865362191252,5.369829156953747,0.6309735544258503,5.031354191929024,0.37272252719891347,5.1922463100392235,0.4200452373573136,5.65641933912432,0.4941752181266974,Sub-Saharan Africa,13270120562.764036,13057798633.759811,13593168377.743965,-5.92,3.2,19.32,8.94
98,Malawi,0.13634016041759942,0.020540866585912643,0.13389132881080876,0.030544516404050065,0.132676096796165,0.03091044221121228,0.13622826501018226,0.017962979270660775,0.13428503763265764,0.020572813687317143,0.13234181025513259,0.02325026254053389,1.3809368071223829,9375631600.66637,1.3179016450611534,0.1985536894018611,1.2735228734320045,0.29052770365317787,1.313704579639116,0.30606258755053734,1.3168200331497535,0.1736351186509779,1.2772676804673058,0.19568069892468148,1.3103946106961746,0.2302146137464155,Sub-Saharan Africa,9666276180.287027,9511615761.402435,9901592007.619934,-3.37,-3.0,3.16,2.59
99,Malaysia,0.6406747714121788,0.03135056177672724,0.6002054841728848,0.05726642077638322,0.6089744656267302,0.03988084638203937,0.645274268367686,0.030589309300535827,0.6249470764934841,0.035033618398244704,0.6046198846192894,0.039593068691739175,254.5265384400404,382129075421.24115,256.5718400316326,12.554999322589792,238.92286281397386,22.795954978415423,261.3217719853511,17.113580343807207,258.41380642355585,12.250139575865958,248.77170995664866,13.9457779429918,259.45314384189186,16.990089819636047,ASEAN-5,400471271041.4608,398068443415.21204,429117782001.59845,-6.88,-3.73,9.37,4.29
100,Maldives,0.39185637070794727,0.027871283616127673,0.3999024994464656,0.03930399258073769,0.39537636149749195,0.0341774774015276,0.3885465161182653,0.02496035657976564,0.3911552248017838,0.02858683728060546,0.39376393348530314,0.03230727124059052,1.5229451027169076,4142753892.579095,1.71264955286179,0.12181438146994276,1.7652941662890906,0.1735000629170465,1.8936661065278395,0.1636939808863726,1.698183484662324,0.10909186817194058,1.726680972016589,0.12619120199038386,1.8859433376087942,0.15473657633701499,Emerging Developing Asia,4370605356.670944,4414311410.237654,4789527880.107855,3.07,1.68,7.27,9.22
101,Mali,0.2632533887323753,0.026586116690895195,0.2720468607623955,0.047027988503463236,0.27847609257559675,0.03155252562833469,0.2626581812173079,0.02089729990700881,0.2703283236453675,0.02393346065127966,0.2779984660734254,0.027048280906181166,3.560199762388698,14839783342.06343,4.027728573690878,0.40676271015929183,4.095670809921072,0.7080072867709502,4.364354004467901,0.49449987000128565,4.018622007856127,0.31972485654881116,4.0697982000102195,0.36031871823528966,4.356868510405873,0.42390810641965027,Sub-Saharan Africa,15299816625.667397,15055019559.656717,15672275361.602642,1.69,1.27,6.56,7.05
102,Malta,0.07450141111903641,0.10688801534124966,0.04691265486100295,0.15660883776166137,0.02402209589554592,0.1082551407641648,0.07834206437012625,0.0492897580596319,0.052903094681568064,0.05645104823513985,0.02746412499301698,0.0637978699513268,1.5834148142008164,13826201947.552038,1.042432414175509,1.4955895493117322,0.6380279209537296,2.129932988361182,0.33977694642227624,1.5311986649000797,1.0961712814051205,0.6896680306649928,0.7194999219657798,0.767753286353979,0.38846221274211423,0.9023794399358211,Middle East Central Asia,13992116370.922663,13600337112.536827,14144350597.038301,-38.79,-34.36,-46.75,-46.01
103,Marshall Islands,0.8414061793239592,0.019495001551130486,0.8584567235310463,0.020165203369336915,0.8279167303647991,0.028245868644466765,0.8539161692246817,0.024903463752446453,0.852815523039681,0.028521678516042703,0.8517148768546803,0.03223363238853827,0.15074837311157208,179151563.71070203,0.15902989054253006,0.0036846508131111056,0.16387505220987791,0.0038494354629553806,0.17147895713210742,0.005850313106137456,0.16139433992914914,0.004706876669082066,0.16279817553140496,0.005444644357498372,0.17640805349179062,0.006676262797746301,Emerging Developing Asia,189004899.71479058,190894948.71193853,207121019.3524533,3.05,0.87,4.64,8.36
104,Mauritania,0.4371892625742408,0.043132597573594056,0.4405654570568585,0.06590937074573489,0.4304116161205952,0.05601998856802509,0.43675603682688013,0.03960589714810103,0.4340289699704867,0.04536022286000563,0.4313019031140932,0.05126362909913185,2.6614827113106285,5876054914.268177,2.6485855063739017,0.2613064468075305,2.626334583018473,0.39290429370219476,2.671002673740913,0.3476428926263141,2.645960932685401,0.23994094579480307,2.5873687453400636,0.27040504443198565,2.6765275221673175,0.31812638242337565,Sub-Saharan Africa,6058212616.61049,5961281214.744722,6205693744.549255,-0.84,-2.21,1.7,3.45
105,Mauritius,0.3424610004511857,0.018941643098266348,0.2856618851622477,0.11171462001027652,0.3470449370117711,0.019674284240214335,0.3495042044953651,0.01409017105878213,0.3460829549468549,0.01613732664537798,0.34266170539834384,0.018237519034100258,4.854957354850714,13385156232.330864,4.725994708349554,0.2613964945845344,3.879086876991216,1.5170057293565546,4.905843059843546,0.2781165794502601,4.823191600838813,0.1944457143318896,4.699562379917062,0.21913351157874109,4.8438814978176765,0.2578064009594546,Sub-Saharan Africa,13800096075.53312,13579294538.324587,14136045614.395895,-17.92,-2.56,26.47,3.07
